user_id,article_id,date_achat,prix,categorie
1,A001,2024-01-15,29.99,Électronique
1,A002,2024-01-15,19.99,Livres
1,A005,2024-01-20,49.99,Électronique
2,A002,2024-01-16,19.99,Livres
2,A003,2024-01-17,39.99,Vêtements
3,A001,2024-02-01,29.99,Électronique
3,A004,2024-02-01,59.99,Vêtements
4,A003,2024-02-05,39.99,Vêtements
4,A005,2024-02-06,49.99,Électronique
5,A002,2024-02-10,19.99,Livres
5,A004,2024-02-10,59.99,Vêtements
5,A001,2024-02-11,29.99,Électronique
6,A005,2024-03-01,49.99,Électronique
6,A003,2024-03-01,39.99,Vêtements
7,A001,2024-03-05,29.99,Électronique
7,A002,2024-03-05,19.99,Livres
8,A004,2024-03-10,59.99,Vêtements
8,A005,2024-03-10,49.99,Électronique
9,A002,2024-03-15,19.99,Livres
9,A003,2024-03-15,39.99,Vêtements
10,A001,2024-03-20,29.99,Électronique
10,A004,2024-03-20,59.99,Vêtements
